Date,total_num_articles,num_of_relevant_articles,inflation_articles_per_month,positive_articles,neutral_articles,negative_articles,sentiment_gap
2002.0833333333132,8535.0,668.0,2.0,0.0,0.0,2.0,2.0
2002.1666666666465,8902.0,675.0,6.0,1.0,2.0,3.0,2.0
2002.2499999999798,10616.0,656.0,4.0,0.0,0.0,4.0,4.0
2002.333333333313,9260.0,636.0,7.0,0.0,0.0,7.0,7.0
2002.4166666666463,9268.0,684.0,5.0,2.0,0.0,3.0,1.0
2002.4999999999795,8580.0,611.0,2.0,0.0,1.0,1.0,1.0
2002.5833333333128,8487.0,616.0,3.0,0.0,0.0,3.0,3.0
2002.666666666646,9272.0,837.0,4.0,0.0,1.0,3.0,3.0
2002.7499999999793,9713.0,758.0,7.0,1.0,1.0,5.0,4.0
2002.8333333333126,9115.0,678.0,2.0,0.0,0.0,2.0,2.0
2002.9166666666458,9155.0,613.0,7.0,1.0,1.0,5.0,4.0
2002.999999999979,9213.0,819.0,3.0,0.0,1.0,2.0,2.0
2003.0833333333123,8603.0,1012.0,3.0,0.0,0.0,3.0,3.0
2003.1666666666456,9766.0,1752.0,4.0,1.0,0.0,3.0,2.0
2003.2499999999789,9351.0,1646.0,1.0,1.0,0.0,0.0,-1.0
2003.333333333312,9157.0,890.0,17.0,5.0,0.0,12.0,7.0
2003.4166666666454,9173.0,736.0,8.0,1.0,0.0,7.0,6.0
2003.4999999999786,8568.0,798.0,2.0,0.0,0.0,2.0,2.0
2003.5833333333119,8701.0,607.0,6.0,1.0,2.0,3.0,2.0
2003.6666666666451,8555.0,761.0,6.0,0.0,1.0,5.0,5.0
2003.7499999999784,9204.0,766.0,3.0,1.0,0.0,2.0,1.0
2003.8333333333117,9034.0,769.0,3.0,0.0,2.0,1.0,1.0
2003.916666666645,8747.0,708.0,5.0,2.0,2.0,1.0,-1.0
2003.9999999999782,8810.0,640.0,5.0,0.0,2.0,3.0,3.0
2004.0833333333114,8750.0,669.0,3.0,0.0,0.0,3.0,3.0
2004.1666666666447,8986.0,702.0,7.0,0.0,3.0,4.0,4.0
2004.249999999978,8519.0,831.0,15.0,1.0,3.0,11.0,10.0
2004.3333333333112,8899.0,945.0,11.0,1.0,1.0,9.0,8.0
2004.4166666666445,8436.0,952.0,17.0,0.0,5.0,12.0,12.0
2004.4999999999777,8696.0,703.0,11.0,2.0,0.0,9.0,7.0
2004.583333333311,8682.0,595.0,8.0,2.0,0.0,6.0,4.0
2004.6666666666442,9131.0,798.0,6.0,0.0,1.0,5.0,5.0
2004.7499999999775,10876.0,716.0,1.0,0.0,0.0,1.0,1.0
2004.8333333333107,8997.0,686.0,8.0,2.0,1.0,5.0,3.0
2004.916666666644,9165.0,630.0,4.0,1.0,0.0,3.0,2.0
2004.9999999999773,10567.0,684.0,4.0,1.0,0.0,3.0,2.0
2005.0833333333105,9311.0,598.0,6.0,0.0,0.0,6.0,6.0
2005.1666666666438,10262.0,620.0,11.0,0.0,2.0,9.0,9.0
2005.249999999977,10180.0,450.0,9.0,0.0,0.0,9.0,9.0
2005.3333333333103,10526.0,413.0,7.0,0.0,0.0,7.0,7.0
2005.4166666666436,10032.0,354.0,9.0,0.0,0.0,9.0,9.0
2005.4999999999768,10113.0,311.0,8.0,2.0,1.0,5.0,3.0
2005.58333333331,9698.0,315.0,6.0,2.0,0.0,4.0,2.0
2005.6666666666433,10256.0,271.0,4.0,0.0,0.0,4.0,4.0
2005.7499999999766,10464.0,286.0,11.0,2.0,2.0,7.0,5.0
